goal_eng,goal_fre,accepted_values, target_value , duration_type , duration ,achievement_tags,category_name,category_level_name, evaluation_name_eng, evaluation_name_fre,evaluation_level_name , evaluation_group_name_eng, evaluation_group_name_fre
 2-ft turn - CW                                               ,Virage sur deux pieds SA," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1, CanSkate 1 - Agility                                           , CanSkate                                            , CanSkate 1                                             ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 1 , CanSkate 1 - Agility  , Patinage plus étape 1 - Agilité
 2-ft turn - CCW  ,Virage sur deux pieds SCA," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 1 - Agility                                           , CanSkate   , CanSkate 1      ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 1, CanSkate 1 - Agility, Patinage plus étape 1 - Agilité
 2-ft jump                                                 ,Saut sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 1 - Agility                                           , CanSkate                                            , CanSkate 1                                              ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 1 , CanSkate 1 - Agility  , Patinage plus étape 1 - Agilité
 Fwd skating perimeter of ice                              ,Patinage avant périmétrique," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 1 - Agility                                           , CanSkate                                            , CanSkate 1                                              ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 1 , CanSkate 1 - Agility  ,Patinage plus étape 1 - Agilité
 Fwd 2-ft turn                                             ,Virage avant sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Agility                                           , CanSkate                                            , CanSkate 2                                              ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 2 , CanSkate 2 - Agility  ,Patinage plus étape 2 - Agilité
 Bwd 2-ft turn                                             ,Virage arriére sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Agility                                           , CanSkate                                            , CanSkate 2                                              ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 2 , CanSkate 2 - Agility  ,Patinage plus étape 2 - Agilité
 Fwd 180 glide turn - CW                                     ,Virage avec glisse de 180 degrés SA," a:1:{s:4:""type"";s:4:""bool"";}                                                                        ",1, Months        ,1, CanSkate 2 - Agility                                           , CanSkate                                            , CanSkate 2                                              ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 2 , CanSkate 2 - Agility  ,Patinage plus étape 2 - Agilité
 Fwd 180 glide turn - CCW   ,Virage avec glisse de 180 degrés SCA," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 2 - Agility   , CanSkate   , CanSkate 2 ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 2, CanSkate 2 - Agility,Patinage plus étape 2 - Agilité
 Fwd 2-ft jump                                             ,Saut avant sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Agility                                           , CanSkate                                            , CanSkate 2                                              ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 2 , CanSkate 2 - Agility  ,Patinage plus étape 2 - Agilité
 Fwd 2-ft quick turn                                       ,Virage avant rapide sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 3 - Agility                                           , CanSkate                                            , CanSkate 3                                                                                     ,CanSkate - Agility,Patinage plus - Agilité, CanSkate 3 , CanSkate 3 - Agility  ,Patinage plus étape 3 - Agilité
