goal_eng,goal_fre,accepted_values,  target_value , duration_type , duration ,achievement_tags,category_name,category_level_name,evaluation_name_eng,evaluation_name_fre,evaluation_level_name ,evaluation_group_name_eng,evaluation_group_name_fre
Fall down & get up                                         ,Tomber et se relever," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1, CanSkate 1 - Balance                                           , CanSkate                                            , CanSkate 1                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 1 , CanSkate 1 - Balance , Patinage plus étape 1 - Équilibre
Fwd push/glide sequence,Séquence de poussées et de glisses avant," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 1 - Balance                                           , CanSkate   , CanSkate 1      ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 1, CanSkate 1 - Balance , Patinage plus étape 1 - Équilibre
Fwd 2-ft glide                                              ,Glisse avant sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 1 - Balance                                           , CanSkate                                            , CanSkate 1                                              ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 1 , CanSkate 1 - Balance , Patinage plus étape 1 - Équilibre
Fwd 2-ft sit glide,Glisse avant sur deux pieds en position assise," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 1 - Balance                                           , CanSkate                                            , CanSkate 1                                              ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 1 , CanSkate 1 - Balance ,Patinage plus étape 1 - Équilibre
Fwd 2-ft sculling,Godille avant sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Balance                                           , CanSkate                                            , CanSkate 2                                              ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 2 ,CanSkate 2 - Balance,Patinage plus étape 2 - Équilibre
Fwd 2-ft to 1-ft glide R,Glisse avant de deux pieds à un pied D," a:1:{s:4:""type"";s:4:""bool"";}                                                                        ",1, Months        ,1, CanSkate 2 - Balance                                           , CanSkate                                            , CanSkate 2                                              ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 2 ,CanSkate 2 - Balance,Patinage plus étape 2 - Équilibre
Fwd 2-ft to 1-ft glide L,Glisse avant de deux pieds à un pied G," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 2 - Balance   , CanSkate   , CanSkate 2 ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 2,CanSkate 2 - Balance,Patinage plus étape 2 - Équilibre
Fwd push/glide sequence,Séquence de poussées et de glisses avant," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Balance                                           , CanSkate                                            , CanSkate 2                                              ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 2 ,CanSkate 2 - Balance,Patinage plus étape 2 - Équilibre
Fwd 1-ft glide with speed R,Patinage rapide et glisse avant sur un pied D," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Balance                                           , CanSkate                                            , CanSkate 2                                                                                     ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 2,CanSkate 2 - Balance,Patinage plus étape 2 - Équilibre
Fwd 1-ft glide with speed L,Patinage rapide et glisse avant sur un pied G," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Balance                                           , CanSkate                                            , CanSkate 2                                                                                     ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 2 ,CanSkate 2 - Balance,Patinage plus étape 2 - Équilibre
