goal_eng,goal_fre,accepted_values,  target_value , duration_type , duration ,achievement_tags,category_name,category_level_name, evaluation_name_eng,evaluation_name_fre,evaluation_level_name , evaluation_group_name_eng, evaluation_group_name_fre
Snow slide steps R,Faire de la neige à l’aide de pas dérapés de côté D," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1, CanSkate 1 - Control                                           , CanSkate                                            , CanSkate 1                                             ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 1 , CanSkate 1 - Control , Patinage plus étape 1 - Maîtrise
Snow slide steps L,Faire de la neige à l’aide de pas dérapés de côté G," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 1 - Control , CanSkate   , CanSkate 1      ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 1, CanSkate 1 - Control , Patinage plus étape 1 - Maîtrise
Bwd 2-ft skating/walking,Patinage ou marche arrière sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 1 - Control , CanSkate                                            , CanSkate 1                                              ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 1 , CanSkate 1 - Control , Patinage plus étape 1 - Maîtrise
Bwd 2-ft glide,Glisse arrière sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 1 - Control , CanSkate                                            , CanSkate 1                                             ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 1 , CanSkate 1 - Control ,Patinage plus étape 1 - Maîtrise
Fwd stop,Arrêt avant," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Control , CanSkate                                            , CanSkate 2                                              ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 2 , CanSkate 2 - Control ,Patinage plus étape 2 - Maîtrise
Bwd 2-ft sit glide,Glisse arrière sur deux pieds en position assise," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Control , CanSkate                                            , CanSkate 2                                              ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 2 , CanSkate 2 - Control ,Patinage plus étape 2 - Maîtrise
Bwd 2-ft to 1-ft glide R,Glisse arrière de deux pieds à un pied D," a:1:{s:4:""type"";s:4:""bool"";}                                                                        ",1, Months        ,1, CanSkate 2 - Control , CanSkate                                            , CanSkate 2                                              ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 2 , CanSkate 2 - Control ,Patinage plus étape 2 - Maîtrise
Bwd 2-ft to 1-ft glide L,Glisse arrière de deux pieds à un pied G," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 2 - Control , CanSkate   , CanSkate 2 ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 2, CanSkate 2 - Control ,Patinage plus étape 2 - Maîtrise
Bwd push/glide sequence,Séquence de poussées et de glisses arrière," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 2 - Control , CanSkate                                            , CanSkate 2                                              ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 2 , CanSkate 2 - Control ,Patinage plus étape 2 - Maîtrise
Fwd stop with speed (2/3) R,Arrêt avant précédé de patinage rapide D," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 3 - Control                                            , CanSkate                                            , CanSkate 3                                                                                     ,CanSkate - Control,Patinage plus - Maîtrise, CanSkate 3 , CanSkate 3 - Control,Patinage plus étape 3 - Maîtrise
